"source_series_id","independent_group","image_type","partition","source_path","source_sha256","source_frame_selection","repository_family","prior_use","notes"
"fiducial_cage_d1","cage_d1","FIDUCIAL_STATIC","development","library/benchmark/v2/series/fiducial_cage_d1/source/d1_rocs_beads_no_autofocus.ome.tif","51e5d6fa599d4639b3e919bef68d1c816bb3cc3c0c738d979cc5753728bab14d","plane=0","zenodo_reinforced_cage:ZENODO_REINFORCED_CAGE","v3_development_spent_development","v2 pilot source development only"
"fiducial_cage_d2","cage_d2","FIDUCIAL_STATIC","development","library/benchmark/v2/series/fiducial_cage_d2/source/d2_rocs_beads_no_autofocus.ome.tif","9c8179512ef3a99667ef227c31cd8d5ce1f82faa594ca7c08dea23b36cafb794","plane=0","zenodo_reinforced_cage:ZENODO_REINFORCED_CAGE","v3_development_spent_development","v2 pilot source development only"
"fiducial_cage_d3","cage_d3","FIDUCIAL_STATIC","development","library/benchmark/v2/series/fiducial_cage_d3/source/d3_rocs_beads_no_autofocus.ome.tif","57622986afdb6d6dfe0bfa33b7d097d35cfe370470293566801b89f4a978376d","plane=0","zenodo_reinforced_cage:ZENODO_REINFORCED_CAGE","v3_development_spent_development","v2 pilot source development only"
"fiducial_cage_d4","cage_d4","FIDUCIAL_STATIC","development","library/benchmark/v2/series/fiducial_cage_d4/source/d4_rocs_beads_no_autofocus.ome.tif","f99493ca198ea118d9c099f20840c79f77e50445fe6c2c9694fe62972fc48b67","plane=0","zenodo_reinforced_cage:ZENODO_REINFORCED_CAGE","v3_development_spent_development","v2 pilot source development only"
"integration_bead_miniscope_p1","miniscope_integration","FIDUCIAL_STATIC","development","library/benchmark/v3/downloads/publication_test/12087382/12087382_raw_movies/Figure07/Miniscope single bead displacement video.tif","5993a9843edcea599ae0f577f3926ed85a29927f7d8325c9c39dc85907a7a2cb","plane=1","sorbonne_bead:Zenodo","v3_integration_spent_development","unreported plane reserved for repeated pipeline integration checks"
"integration_phase_glioma_valid04","glioma_valid_integration","PHASE_CONTRAST","development","library/benchmark/v3/downloads/publication_test/15395623/15395623_glioma_mini/valid/images/gen_24h_20x_04.tif","f9ab1c8f744b545582a01bc7dee87050402b5a216024bb0175ae3b44e4d3f1f5","plane=0","pavlov_glioma:Zenodo","v3_integration_spent_development","unreported validation image reserved for repeated pipeline integration checks"
"phase_strack_lysobacter_01","strack_lysobacter_01","PHASE_CONTRAST","development","library/benchmark/v2/series/phase_strack_lysobacter_01/source/images/BF_position0_time0001.tif","2258e1b3d9a47455d013891d1700c2ddb970a1643c85100e6c9dd30685c341c6","plane=0","zenodo_strack:ZENODO_STRACK","v3_development_spent_development","v2 pilot source development only"
"phase_strack_pputida_01","strack_pputida_01","PHASE_CONTRAST","development","library/benchmark/v2/series/phase_strack_pputida_01/source/images/BF_position1_time0001.tif","b765ec2cc6b68b3bf8ea09d170537b08dd7282b9c7c89c3db92d0d2037ad7442","plane=0","zenodo_strack:ZENODO_STRACK","v3_development_spent_development","v2 pilot source development only"
"phase_strack_pveronii_01","strack_pveronii_01","PHASE_CONTRAST","development","library/benchmark/v2/series/phase_strack_pveronii_01/source/images/BF_position1_time0001.tif","f9c0a9777069819654d6b361ed36b551a03b311b3fb2e5d4e703d2efaee02151","plane=0","zenodo_strack:ZENODO_STRACK","v3_development_spent_development","v2 pilot source development only"
"phase_strack_rahnella_01","strack_rahnella_01","PHASE_CONTRAST","development","library/benchmark/v2/series/phase_strack_rahnella_01/source/images/BF_position3_time0001.tif","653a9beb94516d18e3c40fd56b0517e137618a7ecbfdec2db1632283aa288210","plane=0","zenodo_strack:ZENODO_STRACK","v3_development_spent_development","v2 pilot source development only"
"integration_sparse_ai4life_p20","ai4life_integration","SPARSE_LOW_LIGHT_FLUORESCENCE","development","library/benchmark/v3/downloads/publication_test/10925855/10925855_ai4life_noisy.tiff","ff12ee5566f443d58976757c037ecef8bf53a00794fa822fe7bcd0dd776a9c0f","plane=20","ai4life_hagen:Zenodo","v3_integration_spent_development","unreported plane reserved for repeated pipeline integration checks"
"sparse_ssbd_fig3a","ssbd_235_hattori","SPARSE_LOW_LIGHT_FLUORESCENCE","development","library/benchmark/v2/series/sparse_ssbd_fig3a/source/[1]_Figure3A.tif","8164c2186183417446963932ee59be60024bdb57b91a41da5ff6ab487492100c","plane=0","ssbd_235:SSBD_235","v3_development_spent_development","v2 pilot source development only"
"sparse_ssbd_fig4a","ssbd_235_hattori","SPARSE_LOW_LIGHT_FLUORESCENCE","development","library/benchmark/v2/series/sparse_ssbd_fig4a/source/[1]_Figure4A.tif","0f4a5141fa45431fe3a250a7e721d08dba92cbb78b8c4d38caeacbca8fe65bcc","plane=0","ssbd_235:SSBD_235","v3_development_spent_development","v2 pilot source development only"
"sparse_ssbd_fig5a","ssbd_235_hattori","SPARSE_LOW_LIGHT_FLUORESCENCE","development","library/benchmark/v2/series/sparse_ssbd_fig5a/source/[1]_Figure5A.tif","3cae9aed4466ff22bd61646547f120eca50dc6f3ba447abccdf1da34fe92ec2a","plane=0","ssbd_235:SSBD_235","v3_development_spent_development","v2 pilot source development only"
"sparse_ssbd_figs4","ssbd_235_hattori","SPARSE_LOW_LIGHT_FLUORESCENCE","development","library/benchmark/v2/series/sparse_ssbd_figs4/source/[1]_FigureS4-Blue.tif","3efd86c94e291081b0afef0e0547ae27a084c7817cc420b5952626451099dfe7","plane=0","ssbd_235:SSBD_235","v3_development_spent_development","v2 pilot source development only"
"selector_val_bf_hl60_c2_11","hl60_c2_11","BRIGHTFIELD_DIC","validation","library/benchmark/v3/downloads/publication_test/4428844/4428844_cell_counter/cell-counter-data_U2OS_HL-60/train/HL60.C2.11.tiff","acaf91c47e35b73f11d2366e01d604601bcd40f63f017782f6f82652311f92cb","plane=0","cell_counter_amsterdam:Zenodo_4428844","unused_exact_acquisition","HL60 channel-2 field; exact file absent from earlier manifests"
"selector_val_bf_hl60_c2_43","hl60_c2_43","BRIGHTFIELD_DIC","validation","library/benchmark/v3/downloads/publication_test/4428844/4428844_cell_counter/cell-counter-data_U2OS_HL-60/train/HL60.C2.43.tiff","4e2280fc3aea105a0691b7038dfac480f4a5eee52e0ba97ead2a8aa84eb8756f","plane=0","cell_counter_amsterdam:Zenodo_4428844","unused_exact_acquisition","Second independent HL60 channel-2 field; exact file absent from earlier manifests"
"selector_val_dense_nuclei_p3","nuclei_position3","DENSE_FLUORESCENCE","validation","library/benchmark/v3/downloads/publication_test/5750174/5750174_noisy_nuclei/Denoising_Dataset/Training/high/cell migration high and low - Position 3 - 1_XY1562738055_Z0.tif","9b6a95a4a2230842862cbaa3d6c05482c5b7231fc2f7e31cc1553ed59d3f86e8","plane=0","noisy_nuclei:Zenodo_5750174","unused_exact_acquisition","Independent high-signal fluorescence field absent from earlier manifests"
"selector_val_dense_stardist_s26","stardist_series26","DENSE_FLUORESCENCE","validation","library/benchmark/v3/downloads/publication_test/4811213/4811213_stardist_training/Training dataset/Training_Source/nd014.nd2 - nd014.nd2 (series 26) series_26 - 1-10000.tif","88b6cef2a365988636ec33c2e2d2812925a4acbe39126a0a2dfb012533574183","plane=0","mda_stardist:Zenodo_4811213","unused_exact_acquisition","Independent ND2 series absent from earlier manifests"
"selector_val_fid_figure02","miniscope_figure02","FIDUCIAL_STATIC","validation","library/benchmark/v3/downloads/publication_test/12087382/12087382_raw_movies/Figure02/Substack (7-2206).tif","8d3bd03135e939c3a3649b0092621e8aef5196c25e648f5faf1031723b736216","frame=0","sorbonne_bead:Zenodo_12087382","unused_exact_acquisition","Independent raw fiducial movie; first frame is the controlled texture"
"selector_val_fid_figure03","miniscope_figure03","FIDUCIAL_STATIC","validation","library/benchmark/v3/downloads/publication_test/12087382/12087382_raw_movies/Figure03/Substack (27-2526) - 26beads - 0L.tif","6e69e2d7ea8a44e9e95bfdc6613ae1699bbcba83a0bd8a0d47d96929ef1c6a76","frame=0","sorbonne_bead:Zenodo_12087382","unused_exact_acquisition","Independent 26-bead raw movie; first frame is the controlled texture"
"selector_val_phase_glioma_08","glioma_24h_20x_08","PHASE_CONTRAST","validation","library/benchmark/v3/downloads/publication_test/15395623/15395623_glioma_mini/valid/images/gen_24h_20x_08.tif","29484c7b329ae37aac5fdbc567ae86f16495071e7f63b77473e2ad3148feb8ff","plane=0","pavlov_glioma:Zenodo_15395623","unused_exact_acquisition","Independent phase-contrast field absent from earlier manifests"
"selector_val_phase_glioma_20","glioma_24h_20x_20","PHASE_CONTRAST","validation","library/benchmark/v3/downloads/publication_test/15395623/15395623_glioma_mini/train/images/gen_24h_20x_20.tif","bd92a297ef6affd3b9d63e5a59f2d99abfa9693b23605acf25ac5d077d3d25a9","plane=0","pavlov_glioma:Zenodo_15395623","unused_exact_acquisition","Second independent phase-contrast field absent from earlier manifests"
"selector_val_sparse_cognet_r03","cognet_r03_s01","SPARSE_LOW_LIGHT_FLUORESCENCE","validation","library/recording_adaptive_selector_v1/sources/downloads/18686988/Cognet_r03-s01-100mW-20ms-175 50xplpeg-173.tif","923e6f6eba6af02844b8f4feda680e512b316595244b8b91e592ecd561fd12d3","frame=0","cognet_lab:Zenodo_18686988","unused_exact_acquisition","Near-infrared single-nanotube movie; zstd TIFF is read losslessly by the input generator"
"selector_val_sparse_sox18_s2","sox18_raop_s2_2018","SPARSE_LOW_LIGHT_FLUORESCENCE","validation","library/recording_adaptive_selector_v1/sources/downloads/5484484/VIDEO_S2_SOX18_VS_SOX18RaOp_500ms/VIDEO_S2_SOX18_VS_SOX18RaOp_500ms.avi","2147f9abb87b6479abb5532f9cda269b4c14bbdb8fc8713d35387667e7b5407c","frame=0","francois_lab:Zenodo_5484484","unused_exact_acquisition","TIRF single-molecule movie from June-July 2018; ImageJ-readable AVI"
"selector_final_bf_u2os_c2_105","u2os_c2_105","BRIGHTFIELD_DIC","final","library/benchmark/v3/downloads/publication_test/4428844/4428844_cell_counter/cell-counter-data_U2OS_HL-60/train/U2OS.C2.105.tiff","6dbdf52acc77f7e7fd1de468973c59aa899f187b46d346336fb310a10e467054","plane=0","cell_counter_amsterdam:Zenodo_4428844","unused_exact_acquisition","Final-only U2OS channel-2 field; never inspect outcomes before Stage 09"
"selector_final_bf_u2os_c2_400","u2os_c2_400","BRIGHTFIELD_DIC","final","library/benchmark/v3/downloads/publication_test/4428844/4428844_cell_counter/cell-counter-data_U2OS_HL-60/train/U2OS.C2.400.tiff","9ab8e7b5a7db05f7698cdee936d19b673de61a137d7f3280d867b659a6bcd3fe","plane=0","cell_counter_amsterdam:Zenodo_4428844","unused_exact_acquisition","Second final-only U2OS channel-2 field; never inspect outcomes before Stage 09"
"selector_final_dense_nuclei_p4","nuclei_position4","DENSE_FLUORESCENCE","final","library/benchmark/v3/downloads/publication_test/5750174/5750174_noisy_nuclei/Denoising_Dataset/Training/high/cell migration high and low - Position 4 - 1_XY1562738056_Z0.tif","f45b478822c1ac784c671f7eccf899c412707e579b4ac7bd545015ffb887424c","plane=0","noisy_nuclei:Zenodo_5750174","unused_exact_acquisition","Final-only fluorescence field; never inspect outcomes before Stage 09"
"selector_final_dense_stardist_s29","stardist_series29","DENSE_FLUORESCENCE","final","library/benchmark/v3/downloads/publication_test/4811213/4811213_stardist_training/Training dataset/Training_Source/nd014.nd2 - nd014.nd2 (series 29) series_29 - 1-10000.tif","69e15e971e8ef618328c9aa66be19a3e25bd54323b59957ae5f83ad9d300e7af","plane=0","mda_stardist:Zenodo_4811213","unused_exact_acquisition","Final-only independent ND2 series; never inspect outcomes before Stage 09"
"selector_final_fid_figure04","miniscope_figure04","FIDUCIAL_STATIC","final","library/benchmark/v3/downloads/publication_test/12087382/12087382_raw_movies/Figure04/Substack (27-2526)  - 26beads - 1L.tif","dbecd5c9f1b8c4f8ab6606706a058178a602346a80b81c684a8416f714975d4a","frame=0","sorbonne_bead:Zenodo_12087382","unused_exact_acquisition","Final-only independent bead movie; never inspect outcomes before Stage 09"
"selector_final_fid_figure06","miniscope_figure06","FIDUCIAL_STATIC","final","library/benchmark/v3/downloads/publication_test/12087382/12087382_raw_movies/Figure06/Substack (5-2204).tif","fc76e7ae253521195fc7e260fa057a0ab9ea9c92348b814eacb255842774959e","frame=0","sorbonne_bead:Zenodo_12087382","unused_exact_acquisition","Final-only independent raw fiducial movie; never inspect outcomes before Stage 09"
"selector_final_phase_glioma_19","glioma_24h_20x_19","PHASE_CONTRAST","final","library/benchmark/v3/downloads/publication_test/15395623/15395623_glioma_mini/valid/images/gen_24h_20x_19.tif","c91b170c976bf33d9639bfe501b7ba0495625c67467e303295ef3540bf5c2ee0","plane=0","pavlov_glioma:Zenodo_15395623","unused_exact_acquisition","Final-only independent phase field; never inspect outcomes before Stage 09"
"selector_final_phase_glioma_26","glioma_72h_10x_26","PHASE_CONTRAST","final","library/benchmark/v3/downloads/publication_test/15395623/15395623_glioma_mini/valid/images/gen_72h_10x_26.tif","1190e549d87786c94ed8a0258e9d338e61553aadc8b19a6b6a1d5ca38a2a107a","plane=0","pavlov_glioma:Zenodo_15395623","unused_exact_acquisition","Final-only 72-hour phase field; never inspect outcomes before Stage 09"
"selector_final_sparse_sox18_s10","sox18dim_s10_2019","SPARSE_LOW_LIGHT_FLUORESCENCE","final","library/recording_adaptive_selector_v1/sources/downloads/5484484/VIDEO_S10_SOX18DIM_500ms/VIDEO_S10_SOX18DIM_500ms.avi","33207231b478eb8eb962838366c07c38a3565f3c3c731aac2c2485900f81897a","frame=0","francois_lab:Zenodo_5484484","unused_exact_acquisition","Final-only TIRF movie from July-August 2019; never inspect outcomes before Stage 09"
"selector_final_sparse_sox18_s12","sox18ah1_s12_2019","SPARSE_LOW_LIGHT_FLUORESCENCE","final","library/recording_adaptive_selector_v1/sources/downloads/5484484/VIDEO_S12_SOX18AH1_500ms/VIDEO_S12_SOX18AH1_500ms.avi","09be01416702767a0e0dd4c8c1e9a61101d33ba2050c8b5775abf9b053923c68","frame=0","francois_lab:Zenodo_5484484","unused_exact_acquisition","Final-only TIRF movie from July 2019; never inspect outcomes before Stage 09"
